State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
MS,DeSoto County,Distribution of population (%),2045,359,0.619,0.298,0.002,0.016,0,0.051,0.014
MS,Forrest County,Distribution of all-cause deaths (%),1932,374,0.683,0.304,,,,0.009,
MS,Forrest County,Distribution of COVID-19 deaths (%),1932,374,0.631,0.348,,,,,
MS,Forrest County,Distribution of population (%),1932,374,0.569,0.374,0.002,0.011,0,0.03,0.013
MS,Harrison County,Distribution of all-cause deaths (%),2983,301,0.778,0.19,,0.014,,0.014,0.004
MS,Harrison County,Distribution of COVID-19 deaths (%),2983,301,0.744,0.223,,,,,
MS,Harrison County,Distribution of population (%),2983,301,0.631,0.254,0.004,0.028,0.001,0.056,0.026
MS,Hinds County,Distribution of all-cause deaths (%),5744,965,0.456,0.52,0.011,0.005,,0.008,
MS,Hinds County,Distribution of COVID-19 deaths (%),5744,965,0.423,0.51,0.047,,,,
MS,Hinds County,Distribution of population (%),5744,965,0.239,0.729,0.001,0.007,0,0.016,0.009
MS,Jackson County,Distribution of all-cause deaths (%),1869,229,0.763,0.212,,0.011,,0.01,
MS,Jackson County,Distribution of COVID-19 deaths (%),1869,229,0.712,0.258,,,,,
MS,Jackson County,Distribution of population (%),1869,229,0.674,0.211,0.004,0.023,0.001,0.068,0.02
MS,Jones County,Distribution of all-cause deaths (%),884,119,0.721,0.265,,,,,
MS,Jones County,Distribution of COVID-19 deaths (%),884,119,0.613,0.37,,,,,
MS,Jones County,Distribution of population (%),884,119,0.642,0.293,0.005,0.004,0,0.047,0.008
MS,Lafayette County,Distribution of all-cause deaths (%),989,237,0.711,0.28,,,,,
MS,Lafayette County,Distribution of COVID-19 deaths (%),989,237,0.658,0.333,,,,,
MS,Lafayette County,Distribution of population (%),989,237,0.702,0.235,0.002,0.022,0,0.027,0.012
MS,Lamar County,Distribution of all-cause deaths (%),666,107,0.749,0.236,,,,,
MS,Lamar County,Distribution of COVID-19 deaths (%),666,107,0.542,0.439,,,,,
MS,Lamar County,Distribution of population (%),666,107,0.732,0.207,0.002,0.015,0.001,0.029,0.013
MS,Lauderdale County,Distribution of all-cause deaths (%),1842,413,0.554,0.395,0.042,,,0.006,
MS,Lauderdale County,Distribution of COVID-19 deaths (%),1842,413,0.429,0.462,0.094,,,,
MS,Lauderdale County,Distribution of population (%),1842,413,0.52,0.438,0.002,0.007,0,0.023,0.01
MS,Lee County,Distribution of all-cause deaths (%),2693,476,0.742,0.245,,,,0.009,
MS,Lee County,Distribution of COVID-19 deaths (%),2693,476,0.693,0.294,,,,,
MS,Lee County,Distribution of population (%),2693,476,0.646,0.302,0.002,0.01,0,0.027,0.013
MS,Leflore County,Distribution of all-cause deaths (%),632,129,0.328,0.665,,,,,
MS,Leflore County,Distribution of COVID-19 deaths (%),632,129,0.248,0.752,,,,,
MS,Leflore County,Distribution of population (%),632,129,0.216,0.742,0.002,0.006,0,0.028,0.007
MS,Lowndes County,Distribution of all-cause deaths (%),1010,201,0.58,0.414,,,,,
MS,Lowndes County,Distribution of COVID-19 deaths (%),1010,201,0.527,0.463,,,,,
MS,Lowndes County,Distribution of population (%),1010,201,0.512,0.444,0.002,0.01,0,0.021,0.01
MS,Madison County,Distribution of all-cause deaths (%),1198,109,0.669,0.311,,,,0.01,
MS,Madison County,Distribution of COVID-19 deaths (%),1198,109,0.67,0.303,,,,,
MS,Madison County,Distribution of population (%),1198,109,0.551,0.38,0.002,0.027,0,0.031,0.009
MS,Rankin County,Distribution of all-cause deaths (%),1286,136,0.794,0.195,,,,,
MS,Rankin County,Distribution of COVID-19 deaths (%),1286,136,0.64,0.331,,,,,
MS,Rankin County,Distribution of population (%),1286,136,0.731,0.214,0.002,0.014,0.001,0.028,0.011
MS,Warren County,Distribution of all-cause deaths (%),773,146,0.53,0.463,,,,,
MS,Warren County,Distribution of COVID-19 deaths (%),773,146,0.418,0.575,,,,,
MS,Warren County,Distribution of population (%),773,146,0.468,0.489,0.002,0.008,0,0.022,0.01
MS,Washington County,Distribution of all-cause deaths (%),885,147,0.297,0.687,,,,,
MS,Washington County,Distribution of COVID-19 deaths (%),885,147,0.17,0.81,,,,,
MS,Washington County,Distribution of population (%),885,147,0.248,0.719,0.001,0.008,0,0.017,0.007
MT,Cascade County,Distribution of all-cause deaths (%),1381,206,0.865,,0.093,,,0.014,0.02
MT,Cascade County,Distribution of COVID-19 deaths (%),1381,206,0.762,,0.189,,,,
MT,Cascade County,Distribution of population (%),1381,206,0.849,0.015,0.043,0.01,0.001,0.047,0.035
MT,Flathead County,Distribution of all-cause deaths (%),1339,109,0.954,,0.031,,,,
MT,Flathead County,Distribution of COVID-19 deaths (%),1339,109,0.826,,0.138,,,,
MT,Flathead County,Distribution of population (%),1339,109,0.926,0.003,0.011,0.008,0.001,0.03,0.022
MT,Missoula County,Distribution of all-cause deaths (%),1291,113,0.934,,0.036,,,0.013,
MT,Missoula County,Distribution of COVID-19 deaths (%),1291,113,0.938,,,,,,
MT,Missoula County,Distribution of population (%),1291,113,0.89,0.004,0.024,0.018,0.001,0.034,0.029
MT,Yellowstone County,Distribution of all-cause deaths (%),2628,429,0.836,0.006,0.119,,,0.03,0.006
MT,Yellowstone County,Distribution of COVID-19 deaths (%),2628,429,0.606,,0.331,,,0.044,
MT,Yellowstone County,Distribution of population (%),2628,429,0.859,0.007,0.041,0.007,0.001,0.058,0.027
NC,Buncombe County,Distribution of all-cause deaths (%),3459,185,0.911,0.055,0.007,0.004,,0.019,0.003
NC,Buncombe County,Distribution of COVID-19 deaths (%),3459,185,0.854,,,,,0.076,
NC,Buncombe County,Distribution of population (%),3459,185,0.832,0.06,0.003,0.013,0.001,0.068,0.021
NC,Cabarrus County,Distribution of all-cause deaths (%),1713,137,0.769,0.183,,0.009,,0.035,
NC,Cabarrus County,Distribution of COVID-19 deaths (%),1713,137,0.672,0.212,,,,0.102,
NC,Cabarrus County,Distribution of population (%),1713,137,0.633,0.186,0.003,0.046,0.001,0.111,0.021
NC,Cumberland County,Distribution of all-cause deaths (%),2493,121,0.532,0.39,0.017,0.018,,0.038,0.004
NC,Cumberland County,Distribution of COVID-19 deaths (%),2493,121,0.347,0.554,,,,,
NC,Cumberland County,Distribution of population (%),2493,121,0.422,0.371,0.015,0.026,0.003,0.121,0.043
NC,Durham County,Distribution of all-cause deaths (%),3207,195,0.546,0.39,0.007,0.015,,0.037,0.005
NC,Durham County,Distribution of COVID-19 deaths (%),3207,195,0.477,0.385,,,,0.113,
NC,Durham County,Distribution of population (%),3207,195,0.43,0.356,0.003,0.053,0,0.137,0.021
NC,Forsyth County,Distribution of all-cause deaths (%),4702,245,0.749,0.205,,0.009,,0.032,0.003
NC,Forsyth County,Distribution of COVID-19 deaths (%),4702,245,0.665,0.2,,,,0.11,
NC,Forsyth County,Distribution of population (%),4702,245,0.562,0.258,0.003,0.025,0.001,0.133,0.019
NC,Gaston County,Distribution of all-cause deaths (%),2088,107,0.833,0.137,,0.009,,0.017,
NC,Gaston County,Distribution of COVID-19 deaths (%),2088,107,0.673,0.271,,,,,
NC,Gaston County,Distribution of population (%),2088,107,0.711,0.173,0.004,0.016,0,0.076,0.02
NC,Guilford County,Distribution of all-cause deaths (%),5017,331,0.668,0.288,0.005,0.015,,0.022,0.003
NC,Guilford County,Distribution of COVID-19 deaths (%),5017,331,0.535,0.335,,0.045,,0.076,
NC,Guilford County,Distribution of population (%),5017,331,0.494,0.344,0.004,0.052,0.001,0.084,0.022
NC,Mecklenburg County,Distribution of all-cause deaths (%),7464,517,0.615,0.313,0.003,0.02,,0.045,0.004
NC,Mecklenburg County,Distribution of COVID-19 deaths (%),7464,517,0.54,0.327,,0.025,,0.093,
NC,Mecklenburg County,Distribution of population (%),7464,517,0.461,0.315,0.003,0.062,0,0.138,0.021
NC,Moore County,Distribution of all-cause deaths (%),1296,104,0.769,0.185,0.019,,,0.023,
NC,Moore County,Distribution of COVID-19 deaths (%),1296,104,0.558,0.26,,,,0.135,
NC,Moore County,Distribution of population (%),1296,104,0.77,0.117,0.008,0.015,0.001,0.071,0.019
NC,Orange County,Distribution of all-cause deaths (%),1266,110,0.623,0.279,0.011,0.021,,0.057,0.008
NC,Orange County,Distribution of COVID-19 deaths (%),1266,110,0.409,0.4,,,,0.164,
NC,Orange County,Distribution of population (%),1266,110,0.695,0.113,0.003,0.079,0,0.086,0.023
NC,Pitt County,Distribution of all-cause deaths (%),2204,128,0.548,0.412,,0.008,,0.024,0.006
NC,Pitt County,Distribution of COVID-19 deaths (%),2204,128,0.375,0.547,,,,,
NC,Pitt County,Distribution of population (%),2204,128,0.54,0.351,0.003,0.02,0.001,0.065,0.02
NC,Rowan County,Distribution of all-cause deaths (%),1390,113,0.839,0.143,,,,0.013,
NC,Rowan County,Distribution of COVID-19 deaths (%),1390,113,0.832,0.15,,,,,
NC,Rowan County,Distribution of population (%),1390,113,0.713,0.162,0.003,0.011,0,0.094,0.016
NC,Wake County,Distribution of all-cause deaths (%),5953,376,0.696,0.24,0.003,0.022,,0.034,0.004
NC,Wake County,Distribution of COVID-19 deaths (%),5953,376,0.553,0.319,,,,0.098,
NC,Wake County,Distribution of population (%),5953,376,0.595,0.2,0.003,0.076,0,0.104,0.022
ND,Burleigh County,Distribution of all-cause deaths (%),1492,272,0.903,,0.075,,,0.007,0.007
ND,Burleigh County,Distribution of COVID-19 deaths (%),1492,272,0.875,,0.099,,,,
ND,Burleigh County,Distribution of population (%),1492,272,0.882,0.023,0.04,0.009,0.001,0.028,0.018
ND,Cass County,Distribution of all-cause deaths (%),2673,485,0.892,0.015,0.063,0.006,,0.016,0.008
ND,Cass County,Distribution of COVID-19 deaths (%),2673,485,0.835,,0.113,,,0.025,
ND,Cass County,Distribution of population (%),2673,485,0.843,0.062,0.012,0.033,0,0.028,0.02
ND,Grand Forks County,Distribution of all-cause deaths (%),844,121,0.89,,0.066,,,0.024,
ND,Grand Forks County,Distribution of COVID-19 deaths (%),844,121,0.785,,0.124,,,,
ND,Grand Forks County,Distribution of population (%),844,121,0.83,0.042,0.026,0.028,0.001,0.047,0.026
ND,Ward County,Distribution of all-cause deaths (%),935,202,0.878,0.012,0.087,,,0.012,
ND,Ward County,Distribution of COVID-19 deaths (%),935,202,0.881,,0.094,,,,
ND,Ward County,Distribution of population (%),935,202,0.82,0.045,0.023,0.017,0.002,0.063,0.03
NE,Buffalo County,Distribution of all-cause deaths (%),685,128,0.94,,,,,0.048,
NE,Buffalo County,Distribution of COVID-19 deaths (%),685,128,0.883,,,,,0.102,
NE,Buffalo County,Distribution of population (%),685,128,0.865,0.011,0.003,0.015,0,0.093,0.013
NE,Douglas County,Distribution of all-cause deaths (%),6731,884,0.839,0.101,0.007,0.01,,0.037,0.006
NE,Douglas County,Distribution of COVID-19 deaths (%),6731,884,0.798,0.074,,0.014,,0.104,
NE,Douglas County,Distribution of population (%),6731,884,0.687,0.111,0.005,0.043,0.001,0.129,0.025
NE,Hall County,Distribution of all-cause deaths (%),694,125,0.912,,,,,0.061,
NE,Hall County,Distribution of COVID-19 deaths (%),694,125,0.84,,,,,0.12,
NE,Hall County,Distribution of population (%),694,125,0.651,0.031,0.004,0.012,0.001,0.29,0.011
NE,Lancaster County,Distribution of all-cause deaths (%),3485,356,0.931,0.028,0.004,0.013,,0.022,0.003
NE,Lancaster County,Distribution of COVID-19 deaths (%),3485,356,0.888,0.034,,,,0.051,
NE,Lancaster County,Distribution of population (%),3485,356,0.806,0.04,0.006,0.047,0.001,0.074,0.027
NE,Scotts Bluff County,Distribution of all-cause deaths (%),600,111,0.878,,,,,0.102,
NE,Scotts Bluff County,Distribution of COVID-19 deaths (%),600,111,0.811,,,,,0.18,
NE,Scotts Bluff County,Distribution of population (%),600,111,0.715,0.008,0.015,0.007,0.001,0.241,0.012
NH,Hillsborough County,Distribution of all-cause deaths (%),4407,581,0.95,0.011,,0.011,,0.023,0.006
NH,Hillsborough County,Distribution of COVID-19 deaths (%),4407,581,0.935,,,,,0.033,
NH,Hillsborough County,Distribution of population (%),4407,581,0.837,0.025,0.002,0.044,0,0.073,0.018
NH,Merrimack County,Distribution of all-cause deaths (%),1853,109,0.979,0.007,,0.005,,,0.005
NH,Merrimack County,Distribution of COVID-19 deaths (%),1853,109,0.963,,,,,,
NH,Merrimack County,Distribution of population (%),1853,109,0.921,0.016,0.002,0.022,0,0.023,0.015
NH,Rockingham County,Distribution of all-cause deaths (%),2759,177,0.98,0.005,,0.005,,0.007,
NH,Rockingham County,Distribution of COVID-19 deaths (%),2759,177,0.955,,,,,,
NH,Rockingham County,Distribution of population (%),2759,177,0.922,0.008,0.001,0.022,0,0.033,0.014
NJ,Atlantic County,Distribution of all-cause deaths (%),3696,439,0.718,0.172,,0.029,,0.078,
NJ,Atlantic County,Distribution of COVID-19 deaths (%),3696,439,0.656,0.164,,0.041,,0.132,
NJ,Atlantic County,Distribution of population (%),3696,439,0.559,0.146,0.002,0.079,0,0.194,0.02
NJ,Bergen County,Distribution of all-cause deaths (%),11181,2694,0.732,0.064,,0.075,,0.126,0.003
NJ,Bergen County,Distribution of COVID-19 deaths (%),11181,2694,0.622,0.073,,0.097,,0.204,
NJ,Bergen County,Distribution of population (%),11181,2694,0.551,0.055,0.001,0.167,0,0.21,0.015
NJ,Burlington County,Distribution of all-cause deaths (%),4527,649,0.767,0.171,,0.028,,0.03,0.003
NJ,Burlington County,Distribution of COVID-19 deaths (%),4527,649,0.74,0.18,,0.028,,0.048,
NJ,Burlington County,Distribution of population (%),4527,649,0.665,0.169,0.002,0.053,0.001,0.085,0.025
NJ,Camden County,Distribution of all-cause deaths (%),7787,1026,0.707,0.187,,0.025,,0.078,0.003
NJ,Camden County,Distribution of COVID-19 deaths (%),7787,1026,0.633,0.198,,0.043,,0.122,
NJ,Camden County,Distribution of population (%),7787,1026,0.558,0.187,0.002,0.059,0,0.176,0.019
NJ,Cape May County,Distribution of all-cause deaths (%),1370,129,0.923,0.045,,,,0.024,
NJ,Cape May County,Distribution of COVID-19 deaths (%),1370,129,0.907,,,,,,
NJ,Cape May County,Distribution of population (%),1370,129,0.85,0.041,0.002,0.01,0,0.081,0.017
NJ,Cumberland County,Distribution of all-cause deaths (%),2014,289,0.66,0.167,0.013,0.012,,0.144,
NJ,Cumberland County,Distribution of COVID-19 deaths (%),2014,289,0.592,0.159,,,,0.232,
NJ,Cumberland County,Distribution of population (%),2014,289,0.454,0.187,0.006,0.013,0,0.318,0.022
NJ,Essex County,Distribution of all-cause deaths (%),10168,2569,0.377,0.432,,0.036,,0.152,0.003
NJ,Essex County,Distribution of COVID-19 deaths (%),10168,2569,0.308,0.431,,0.045,,0.21,0.004
NJ,Essex County,Distribution of population (%),10168,2569,0.302,0.386,0.002,0.057,0,0.238,0.015
NJ,Gloucester County,Distribution of all-cause deaths (%),3344,451,0.833,0.121,,0.016,,0.024,0.004
NJ,Gloucester County,Distribution of COVID-19 deaths (%),3344,451,0.776,0.16,,0.033,,0.022,
NJ,Gloucester County,Distribution of population (%),3344,451,0.778,0.104,0.001,0.03,0,0.067,0.02
NJ,Hudson County,Distribution of all-cause deaths (%),5186,1391,0.344,0.159,,0.082,,0.41,0.004
NJ,Hudson County,Distribution of COVID-19 deaths (%),5186,1391,0.227,0.119,,0.091,,0.557,
NJ,Hudson County,Distribution of population (%),5186,1391,0.289,0.107,0.001,0.16,0.001,0.427,0.015
NJ,Hunterdon County,Distribution of all-cause deaths (%),1032,147,0.929,0.019,,0.02,,0.029,
NJ,Hunterdon County,Distribution of COVID-19 deaths (%),1032,147,0.837,,,0.068,,,
NJ,Hunterdon County,Distribution of population (%),1032,147,0.847,0.024,0.001,0.044,0.001,0.07,0.014
NJ,Mercer County,Distribution of all-cause deaths (%),3821,713,0.637,0.237,,0.04,,0.084,
NJ,Mercer County,Distribution of COVID-19 deaths (%),3821,713,0.537,0.271,,0.05,,0.139,
NJ,Mercer County,Distribution of population (%),3821,713,0.482,0.195,0.002,0.117,0.001,0.184,0.019
NJ,Middlesex County,Distribution of all-cause deaths (%),9366,2015,0.643,0.117,,0.109,,0.127,0.003
NJ,Middlesex County,Distribution of COVID-19 deaths (%),9366,2015,0.501,0.132,,0.132,,0.23,0.005
NJ,Middlesex County,Distribution of population (%),9366,2015,0.417,0.098,0.002,0.247,0,0.221,0.015
NJ,Monmouth County,Distribution of all-cause deaths (%),8221,1329,0.841,0.08,,0.027,,0.049,0.002
NJ,Monmouth County,Distribution of COVID-19 deaths (%),8221,1329,0.784,0.084,,0.043,,0.083,
NJ,Monmouth County,Distribution of population (%),8221,1329,0.75,0.067,0.001,0.055,0,0.111,0.015
NJ,Morris County,Distribution of all-cause deaths (%),6552,1333,0.848,0.045,,0.039,,0.064,0.003
NJ,Morris County,Distribution of COVID-19 deaths (%),6552,1333,0.751,0.063,,0.05,,0.133,
NJ,Morris County,Distribution of population (%),6552,1333,0.704,0.033,0.001,0.107,0,0.139,0.016
NJ,Ocean County,Distribution of all-cause deaths (%),8735,1399,0.928,0.025,,0.008,,0.037,0.003
NJ,Ocean County,Distribution of COVID-19 deaths (%),8735,1399,0.877,0.03,,0.014,,0.074,
NJ,Ocean County,Distribution of population (%),8735,1399,0.843,0.031,0.001,0.019,0,0.095,0.011
NJ,Passaic County,Distribution of all-cause deaths (%),5298,1331,0.552,0.144,,0.035,,0.265,0.002
NJ,Passaic County,Distribution of COVID-19 deaths (%),5298,1331,0.398,0.127,,0.047,,0.423,
NJ,Passaic County,Distribution of population (%),5298,1331,0.403,0.1,0.001,0.054,0,0.429,0.012
NJ,Somerset County,Distribution of all-cause deaths (%),2937,547,0.794,0.095,,0.058,,0.051,
NJ,Somerset County,Distribution of COVID-19 deaths (%),2937,547,0.717,0.108,,0.057,,0.113,
NJ,Somerset County,Distribution of population (%),2937,547,0.548,0.095,0.001,0.186,0,0.152,0.017
NJ,Sussex County,Distribution of all-cause deaths (%),1445,202,0.918,0.034,,0.01,,0.036,
NJ,Sussex County,Distribution of COVID-19 deaths (%),1445,202,0.802,0.109,,,,0.074,
NJ,Sussex County,Distribution of population (%),1445,202,0.85,0.022,0.001,0.02,0,0.092,0.014
NJ,Union County,Distribution of all-cause deaths (%),5961,1319,0.545,0.239,,0.034,,0.18,0.002
NJ,Union County,Distribution of COVID-19 deaths (%),5961,1319,0.396,0.257,,0.041,,0.303,
NJ,Union County,Distribution of population (%),5961,1319,0.392,0.209,0.001,0.055,0,0.328,0.014
NJ,Warren County,Distribution of all-cause deaths (%),1199,173,0.911,0.041,,,,0.039,
NJ,Warren County,Distribution of COVID-19 deaths (%),1199,173,0.873,,,,,0.064,
NJ,Warren County,Distribution of population (%),1199,173,0.804,0.051,0.001,0.028,0,0.102,0.014
NM,Bernalillo County,Distribution of all-cause deaths (%),9286,1286,0.459,0.028,0.11,0.011,,0.385,0.007
NM,Bernalillo County,Distribution of COVID-19 deaths (%),9286,1286,0.268,0.023,0.313,,,0.386,
NM,Bernalillo County,Distribution of population (%),9286,1286,0.382,0.026,0.043,0.026,0.001,0.503,0.019
NM,Chaves County,Distribution of all-cause deaths (%),810,121,0.609,0.019,,,,0.356,
NM,Chaves County,Distribution of COVID-19 deaths (%),810,121,0.421,,,,,0.562,
NM,Chaves County,Distribution of population (%),810,121,0.379,0.015,0.008,0.01,0.001,0.578,0.01
NM,Dona Ana County,Distribution of all-cause deaths (%),2412,339,0.479,0.015,0.011,0.005,,0.486,0.004
NM,Dona Ana County,Distribution of COVID-19 deaths (%),2412,339,0.242,,,,,0.708,
NM,Dona Ana County,Distribution of population (%),2412,339,0.267,0.016,0.008,0.011,0.001,0.687,0.011
NM,McKinley County,Distribution of all-cause deaths (%),717,166,0.13,,0.745,,,0.107,0.014
NM,McKinley County,Distribution of COVID-19 deaths (%),717,166,,,0.843,,,0.102,
NM,McKinley County,Distribution of population (%),717,166,0.083,0.005,0.742,0.01,0,0.142,0.018
NM,Sandoval County,Distribution of all-cause deaths (%),1724,311,0.503,0.02,0.171,0.01,,0.292,
NM,Sandoval County,Distribution of COVID-19 deaths (%),1724,311,0.206,,0.479,,,0.293,
NM,Sandoval County,Distribution of population (%),1724,311,0.425,0.021,0.12,0.014,0.001,0.399,0.02
NM,San Juan County,Distribution of all-cause deaths (%),1515,375,0.451,0.007,0.432,,,0.103,0.007
NM,San Juan County,Distribution of COVID-19 deaths (%),1515,375,0.272,,0.648,,,0.069,
NM,San Juan County,Distribution of population (%),1515,375,0.374,0.006,0.387,0.005,0.001,0.206,0.021
NM,Santa Fe County,Distribution of all-cause deaths (%),1617,144,0.471,,0.042,,,0.469,0.007
NM,Santa Fe County,Distribution of COVID-19 deaths (%),1617,144,0.299,,0.188,,,0.5,
NM,Santa Fe County,Distribution of population (%),1617,144,0.431,0.008,0.025,0.013,0,0.509,0.013
NV,Clark County,Distribution of all-cause deaths (%),24425,3606,0.633,0.131,0.004,0.076,0.009,0.136,0.01
NV,Clark County,Distribution of COVID-19 deaths (%),24425,3606,0.465,0.118,0.005,0.126,0.011,0.271,0.005
NV,Clark County,Distribution of population (%),24425,3606,0.414,0.118,0.005,0.098,0.007,0.314,0.045
NV,Washoe County,Distribution of all-cause deaths (%),6040,702,0.82,0.02,0.021,0.035,0.003,0.092,0.008
NV,Washoe County,Distribution of COVID-19 deaths (%),6040,702,0.613,0.019,0.04,0.077,,0.232,
NV,Washoe County,Distribution of population (%),6040,702,0.619,0.023,0.013,0.054,0.006,0.249,0.035
NV,Carson City,Distribution of all-cause deaths (%),1370,157,0.876,0.012,0.015,0.012,,0.069,0.014
NV,Carson City,Distribution of COVID-19 deaths (%),1370,157,0.72,,,,,0.159,
NV,Carson City,Distribution of population (%),1370,157,0.662,0.02,0.019,0.023,0.002,0.248,0.025
NY,Albany County,Distribution of all-cause deaths (%),4777,549,0.846,0.105,,0.018,,0.024,0.007
NY,Albany County,Distribution of COVID-19 deaths (%),4777,549,0.812,0.12,,0.031,,0.029,
NY,Albany County,Distribution of population (%),4777,549,0.715,0.128,0.001,0.068,0,0.063,0.025
NY,Bronx County,Distribution of all-cause deaths (%),18422,4918,0.211,0.325,,0.029,,0.392,0.043
NY,Bronx County,Distribution of COVID-19 deaths (%),18422,4918,0.135,0.306,,0.036,,0.47,0.052
NY,Bronx County,Distribution of population (%),18422,4918,0.09,0.292,0.003,0.04,0,0.564,0.011
NY,Broome County,Distribution of all-cause deaths (%),2961,371,0.945,0.028,,0.009,,0.014,0.004
NY,Broome County,Distribution of COVID-19 deaths (%),2961,371,0.949,0.03,,,,,
NY,Broome County,Distribution of population (%),2961,371,0.827,0.056,0.002,0.044,0,0.044,0.027
NY,Chemung County,Distribution of all-cause deaths (%),1190,145,0.939,0.05,,,,,
NY,Chemung County,Distribution of COVID-19 deaths (%),1190,145,0.979,,,,,,
NY,Chemung County,Distribution of population (%),1190,145,0.86,0.059,0.003,0.015,0,0.032,0.03
NY,Dutchess County,Distribution of all-cause deaths (%),3431,452,0.853,0.086,,0.011,,0.048,
NY,Dutchess County,Distribution of COVID-19 deaths (%),3431,452,0.779,0.133,,,,0.071,
NY,Dutchess County,Distribution of population (%),3431,452,0.706,0.106,0.002,0.036,0,0.129,0.021
NY,Erie County,Distribution of all-cause deaths (%),13319,1863,0.829,0.128,0.006,0.01,,0.025,0.003
NY,Erie County,Distribution of COVID-19 deaths (%),13319,1863,0.84,0.11,0.009,0.015,,0.025,
NY,Erie County,Distribution of population (%),13319,1863,0.749,0.131,0.006,0.038,0,0.058,0.018
NY,Genesee County,Distribution of all-cause deaths (%),715,112,0.951,0.025,0.014,,,,
NY,Genesee County,Distribution of COVID-19 deaths (%),715,112,0.946,,,,,,
NY,Genesee County,Distribution of population (%),715,112,0.902,0.028,0.011,0.006,0,0.035,0.018
NY,Kings County,Distribution of all-cause deaths (%),25003,7202,0.359,0.372,,0.08,,0.155,0.033
NY,Kings County,Distribution of COVID-19 deaths (%),25003,7202,0.312,0.382,,0.081,,0.193,0.032
NY,Kings County,Distribution of population (%),25003,7202,0.368,0.297,0.002,0.125,0,0.189,0.02
NY,Monroe County,Distribution of all-cause deaths (%),10273,1283,0.816,0.127,0.002,0.011,,0.041,0.003
NY,Monroe County,Distribution of COVID-19 deaths (%),10273,1283,0.813,0.112,,0.01,,0.058,
NY,Monroe County,Distribution of population (%),10273,1283,0.701,0.146,0.002,0.036,0,0.092,0.022
NY,Nassau County,Distribution of all-cause deaths (%),17341,4055,0.701,0.145,,0.051,,0.094,0.007
NY,Nassau County,Distribution of COVID-19 deaths (%),17341,4055,0.568,0.189,,0.07,,0.163,0.009
NY,Nassau County,Distribution of population (%),17341,4055,0.585,0.117,0.001,0.107,0,0.175,0.015
NY,New York County,Distribution of all-cause deaths (%),20153,4829,0.396,0.212,,0.086,,0.263,0.043
NY,New York County,Distribution of COVID-19 deaths (%),20153,4829,0.306,0.207,,0.091,,0.349,0.047
NY,New York County,Distribution of population (%),20153,4829,0.472,0.124,0.001,0.125,0,0.256,0.021
NY,Niagara County,Distribution of all-cause deaths (%),2677,237,0.893,0.075,0.008,0.006,,0.013,0.004
NY,Niagara County,Distribution of COVID-19 deaths (%),2677,237,0.857,0.127,,,,,
NY,Niagara County,Distribution of population (%),2677,237,0.849,0.071,0.01,0.011,0,0.033,0.025
NY,Oneida County,Distribution of all-cause deaths (%),3507,498,0.914,0.044,,0.014,,0.019,0.007
NY,Oneida County,Distribution of COVID-19 deaths (%),3507,498,0.9,0.044,,0.026,,0.022,
NY,Oneida County,Distribution of population (%),3507,498,0.813,0.062,0.002,0.041,0,0.062,0.02
NY,Onondaga County,Distribution of all-cause deaths (%),6853,834,0.874,0.087,0.006,0.011,,0.018,0.004
NY,Onondaga County,Distribution of COVID-19 deaths (%),6853,834,0.854,0.095,,0.024,,0.023,
NY,Onondaga County,Distribution of population (%),6853,834,0.764,0.11,0.007,0.038,0,0.052,0.028
NY,Ontario County,Distribution of all-cause deaths (%),1264,120,0.957,0.021,,,,0.014,
NY,Ontario County,Distribution of COVID-19 deaths (%),1264,120,0.967,,,,,,
NY,Ontario County,Distribution of population (%),1264,120,0.895,0.022,0.002,0.014,0,0.051,0.016
NY,Orange County,Distribution of all-cause deaths (%),3813,709,0.779,0.089,,0.013,,0.11,0.007
NY,Orange County,Distribution of COVID-19 deaths (%),3813,709,0.621,0.145,,0.017,,0.207,
NY,Orange County,Distribution of population (%),3813,709,0.627,0.106,0.002,0.028,0,0.216,0.021
NY,Queens County,Distribution of all-cause deaths (%),21335,6350,0.36,0.222,,0.183,,0.197,0.037
NY,Queens County,Distribution of COVID-19 deaths (%),21335,6350,0.261,0.21,,0.201,,0.286,0.041
NY,Queens County,Distribution of population (%),21335,6350,0.248,0.179,0.003,0.265,0.001,0.281,0.022
NY,Rensselaer County,Distribution of all-cause deaths (%),1711,117,0.911,0.061,,,,0.016,
NY,Rensselaer County,Distribution of COVID-19 deaths (%),1711,117,0.829,0.12,,,,,
NY,Rensselaer County,Distribution of population (%),1711,117,0.826,0.071,0.002,0.027,0,0.052,0.022
NY,Richmond County,Distribution of all-cause deaths (%),5448,1370,0.713,0.097,,0.053,,0.096,0.04
NY,Richmond County,Distribution of COVID-19 deaths (%),5448,1370,0.639,0.12,,0.066,,0.139,0.036
NY,Richmond County,Distribution of population (%),5448,1370,0.596,0.094,0.001,0.107,0,0.186,0.016
NY,Rockland County,Distribution of all-cause deaths (%),3215,853,0.701,0.141,,0.039,,0.116,
NY,Rockland County,Distribution of COVID-19 deaths (%),3215,853,0.59,0.183,,0.052,,0.174,
NY,Rockland County,Distribution of population (%),3215,853,0.627,0.112,0.001,0.061,0,0.184,0.015
